PnL,PF,WR,DD,P95,Max,N,year,rule,delta,event_routes,early,changed
2197.7300000000064,2.180654865830407,0.6680497925311203,242.14000000000033,70.34000000000015,198.89000000000033,241,2025,OPPOSITE_NEAREST,-513.4799999999955,47,20,64
2686.750000000004,2.3785840362867674,0.6846473029045643,319.3000000000002,87.52000000000044,247.53999999999996,241,2025,NO_SAME_TARGET,-24.459999999997763,8,4,16
2197.7300000000064,2.180654865830407,0.6680497925311203,242.14000000000033,70.34000000000015,198.89000000000033,241,2025,OPP_NEAREST_OR_NO_SAME,-513.4799999999955,47,20,64
2468.7100000000028,2.428577215307077,0.6721991701244814,228.24000000000024,80.64999999999964,161.8099999999995,241,2025,RATIO_WORSENED,-242.4999999999991,43,23,57
2277.580000000005,2.196032096120323,0.6680497925311203,242.14000000000033,80.64999999999964,161.8099999999995,241,2025,OPP_NEAREST_AND_RATIO_WORSENED,-433.6299999999969,38,16,50
2447.480000000001,2.3528117710786125,0.6680497925311203,245.10000000000036,84.63999999999942,161.8099999999995,241,2025,SAME_DISTANCE_WIDENED,-263.7300000000009,36,19,50
2392.5400000000036,2.2755043289120187,0.6680497925311203,246.5600000000004,84.63999999999942,161.8099999999995,241,2025,OPP_NEAREST_AND_SAME_WIDENED,-318.66999999999825,32,14,44
2215.469999999998,1.8707376314672446,0.6484848484848484,326.5500000000011,104.93199999999955,394.10000000000036,165,2026,ANY_HA,-1213.800000000003,41,22,52
2770.089999999997,2.01648337534906,0.6606060606060606,496.0699999999988,141.22199999999972,509.3800000000001,165,2026,OPPOSITE_NEAREST,-659.1800000000039,30,11,42
3462.4700000000007,2.15514624194727,0.6666666666666666,440.34999999999854,176.14799999999946,592.9399999999996,165,2026,NO_SAME_TARGET,33.19999999999982,1,0,1
2770.089999999997,2.01648337534906,0.6606060606060606,496.0699999999988,141.22199999999972,509.3800000000001,165,2026,OPP_NEAREST_OR_NO_SAME,-659.1800000000039,30,11,42
2764.4399999999973,1.9979927797833923,0.6424242424242425,415.6800000000012,115.5200000000002,592.9399999999996,165,2026,RATIO_WORSENED,-664.8300000000036,36,16,44
3055.5699999999974,2.0863206021110856,0.6545454545454545,496.0699999999988,150.574,592.9399999999996,165,2026,OPP_NEAREST_AND_RATIO_WORSENED,-373.70000000000346,27,8,36
3206.6399999999985,2.154755302675645,0.6303030303030303,465.72999999999956,150.574,592.9399999999996,165,2026,SAME_DISTANCE_WIDENED,-222.63000000000238,28,14,36
3665.5,2.3154022823512537,0.6545454545454545,537.1699999999973,185.95999999999995,592.9399999999996,165,2026,OPP_NEAREST_AND_SAME_WIDENED,236.2299999999991,21,7,27
