PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,selected_q,val_delta,base_pnl,oracle_pnl,delta,oracle_recovery
2631.6600000000017,2.2774242402178526,0.6680497925311203,300.5,92.2199999999998,247.44000000000005,241,67,23,6,28,2025,MECH_RATIO,0.9,-34.3299999999997,2711.210000000002,4244.119999999999,-79.55000000000018,-0.051894762249577814
2548.910000000002,2.238892588254167,0.6721991701244814,324.74000000000024,92.2199999999998,241.4699999999998,241,67,13,4,14,2025,MECH_RATIO_DELTA,0.95,-70.78999999999951,2711.210000000002,4244.119999999999,-162.29999999999973,-0.10587705736148895
2622.730000000003,2.3034724741689114,0.6721991701244814,247.91999999999962,88.86999999999989,245.19000000000005,241,67,26,11,37,2025,MECH_PRICE_RETRACE,0.7,43.609999999999445,2711.210000000002,4244.119999999999,-88.47999999999865,-0.0577202836435269
2840.7500000000023,2.4844358281644388,0.6887966804979253,319.3000000000002,92.26999999999998,247.53999999999996,241,67,14,7,26,2025,MECH_D1,0.95,-134.72999999999956,2711.210000000002,4244.119999999999,129.54000000000042,0.0845059396833478
2571.0400000000022,2.2612534829873265,0.6763485477178424,319.3000000000002,92.2199999999998,241.4699999999998,241,67,8,2,11,2025,SMALL__LOGIT,0.95,33.13000000000011,2711.210000000002,4244.119999999999,-140.16999999999962,-0.09144046291041215
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,SMALL__TREE2,0.95,-120.58999999999901,2711.210000000002,4244.119999999999,-496.4899999999989,-0.3238872471312731
2685.6900000000005,2.3316260505243336,0.6763485477178424,299.9800000000005,92.2199999999998,241.4699999999998,241,67,21,6,28,2025,SMALL__HGB,0.8,-128.79999999999905,2711.210000000002,4244.119999999999,-25.520000000001346,-0.016648074577112416
2279.290000000004,2.2046095954844818,0.6763485477178424,263.9000000000001,80.64999999999964,200.67999999999984,241,67,39,19,53,2025,GEOM_DELTA__LOGIT,0.5,15.829999999999927,2711.210000000002,4244.119999999999,-431.9199999999978,-0.28176474809349444
2046.950000000004,1.987667128264764,0.6431535269709544,240.26000000000022,85.04000000000042,161.8099999999995,241,67,40,17,52,2025,GEOM_DELTA__HGB,0.5,135.74000000000024,2711.210000000002,4244.119999999999,-664.259999999998,-0.4333326809793133
2193.8900000000062,2.1496447136748604,0.6763485477178424,247.63999999999942,77.52999999999975,160.55000000000018,241,67,34,16,49,2025,FULL__LOGIT,0.7,14.260000000000218,2711.210000000002,4244.119999999999,-517.3199999999956,-0.3374757813570246
2580.8500000000035,2.280939641951354,0.6763485477178424,302.4600000000005,92.2199999999998,241.4699999999998,241,67,10,6,15,2025,FULL__TREE2,0.95,-15.859999999999445,2711.210000000002,4244.119999999999,-130.3599999999983,-0.08504086997931944
2771.830000000001,2.435556545337782,0.6804979253112033,285.00000000000045,92.26999999999998,241.4699999999998,241,67,12,3,16,2025,FULL__HGB,0.8,18.530000000000427,2711.210000000002,4244.119999999999,60.61999999999898,0.03954570066083403
3300.530000000002,2.10328056264959,0.6666666666666666,440.34999999999854,150.574,592.9399999999996,165,49,7,1,9,2026,MECH_RATIO,0.95,-66.03000000000065,3429.270000000001,5380.109999999999,-128.73999999999887,-0.06599208546062159
3008.0999999999995,1.97850165409425,0.6545454545454545,529.989999999998,150.574,592.9399999999996,165,49,17,4,22,2026,MECH_RATIO_DELTA,0.9,-114.05999999999995,3429.270000000001,5380.109999999999,-421.17000000000144,-0.21589161591929729
3698.460000000002,2.2938328441541658,0.6666666666666666,431.3999999999987,176.14799999999946,592.9399999999996,165,49,8,1,9,2026,MECH_PRICE_RETRACE,0.9,51.07999999999947,3429.270000000001,5380.109999999999,269.19000000000096,0.13798671341576002
2913.39,2.071095326855416,0.6727272727272727,424.3099999999986,152.79799999999977,394.10000000000036,165,49,22,10,33,2026,MECH_D1,0.7,418.2900000000009,3429.270000000001,5380.109999999999,-515.880000000001,-0.2644399335670796
3862.690000000001,2.349128566937936,0.6666666666666666,440.34999999999854,185.95999999999995,592.9399999999996,165,49,6,1,8,2026,SMALL__LOGIT,0.95,-140.16999999999962,3429.270000000001,5380.109999999999,433.4200000000001,0.22217096225215832
3316.7299999999973,2.1605804424351422,0.6666666666666666,474.4499999999989,154.79600000000022,592.9399999999996,165,49,25,6,34,2026,SMALL__TREE2,0.95,-496.4899999999989,3429.270000000001,5380.109999999999,-112.5400000000036,-0.057687970310227245
3654.2600000000007,2.222266819188292,0.6666666666666666,440.34999999999854,176.14799999999946,592.9399999999996,165,49,7,2,10,2026,SMALL__HGB,0.9,-12.36999999999989,3429.270000000001,5380.109999999999,224.98999999999978,0.11532980664739294
4070.7000000000007,2.4880464980260286,0.6787878787878788,440.34999999999854,185.95999999999995,592.9399999999996,165,49,14,3,19,2026,GEOM_DELTA__LOGIT,0.8,146.00000000000227,3429.270000000001,5380.109999999999,641.4299999999998,0.3287968259826539
3474.980000000001,2.131333059858446,0.6666666666666666,440.34999999999854,176.14799999999946,592.9399999999996,165,49,2,1,2,2026,GEOM_DELTA__HGB,0.9,19.369999999998072,3429.270000000001,5380.109999999999,45.710000000000036,0.02343093231633557
3749.860000000001,2.3159435140863867,0.6666666666666666,440.34999999999854,185.95999999999995,592.9399999999996,165,49,7,3,9,2026,FULL__LOGIT,0.9,-53.8100000000004,3429.270000000001,5380.109999999999,320.59000000000015,0.16433433802874683
3017.1899999999982,2.04951944984573,0.6545454545454545,526.1399999999976,142.11999999999975,592.9399999999996,165,49,22,8,30,2026,FULL__TREE2,0.95,-130.3599999999983,3429.270000000001,5380.109999999999,-412.08000000000266,-0.21123208464046417
3440.64,2.1426825461139423,0.6666666666666666,440.34999999999854,176.14799999999946,592.9399999999996,165,49,4,2,5,2026,FULL__HGB,0.8,60.61999999999898,3429.270000000001,5380.109999999999,11.369999999998981,0.005828258596296464
