year,family,model,weight,n_features,auc,ap,brier,last_is_route_max,last_route_percentile,within_route_pair_auc,train_orientation
2025,JOURNEY_NO_COUNT,TREE3,ROW,28,0.4806449038231303,0.2599056940910105,0.26889200807616526,0.8656716417910447,0.6642583650375573,0.5240641711229946,
2025,HTF_COMPACT,LOGIT,ROW,58,0.4240561896400351,0.22029511817545622,0.2654414698135868,0.5373134328358209,0.6426677885084381,0.44919786096256686,
2025,HTF_COMPACT,TREE2,ROW,58,0.4980046292601165,0.26366729570538117,0.25994976416759585,0.7164179104477612,0.6532695416475048,0.5053475935828877,
2025,HTF_COMPACT,TREE3,ROW,58,0.4542661026418708,0.24444390122745474,0.2851468617997405,0.5522388059701493,0.6093879342781889,0.44919786096256686,
2025,COMBINED_NO_COUNT,LOGIT,ROW,193,0.6022028892968314,0.3769417874913228,0.25351713771907547,0.6119402985074627,0.7217954345917471,0.6524064171122995,
2025,COMBINED_NO_COUNT,TREE2,ROW,193,0.6432277117088355,0.34787307730795997,0.237342390563799,0.9104477611940298,0.7188274314701004,0.6149732620320856,
2025,COMBINED_NO_COUNT,TREE3,ROW,193,0.6489344720249022,0.3431948184453947,0.2377317895511232,0.835820895522388,0.7325962972253577,0.6310160427807486,
2025,COMBINED_WITH_COUNT,LOGIT,ROW,194,0.6018038151488547,0.37602033249030153,0.2539330111896655,0.6119402985074627,0.7217954345917471,0.6524064171122995,
2025,COMBINED_WITH_COUNT,TREE2,ROW,194,0.6432277117088355,0.34787307730795997,0.23734239056379902,0.9104477611940298,0.7188274314701004,0.6149732620320856,
2025,COMBINED_WITH_COUNT,TREE3,ROW,194,0.6489344720249022,0.3431948184453947,0.2377317895511232,0.835820895522388,0.7325962972253577,0.6310160427807486,
2026,H4_GEOM,LOGIT,ROW,32,0.6263141620284477,0.3705120094234947,0.2474796213135041,0.5714285714285714,0.6851834673263245,0.6136363636363636,
2026,H4_GEOM,TREE2,ROW,32,0.6304885590599876,0.3396455910906778,0.23195995575136902,0.8571428571428571,0.6885719439290867,0.6363636363636364,
2026,H4_GEOM,TREE3,ROW,32,0.6568491032776747,0.3680364392832592,0.2294318264534178,0.7959183673469388,0.7088950731807875,0.678030303030303,
2026,H4_GEOM_DELTA,LOGIT,ROW,46,0.6246134817563389,0.37760672110280574,0.25040830288293964,0.5918367346938775,0.7135848278705421,0.7045454545454546,
2026,H4_GEOM_DELTA,TREE2,ROW,46,0.6203617810760668,0.330980463377931,0.23383030787332665,0.7142857142857143,0.6600082457225314,0.6136363636363636,
2026,H4_GEOM_DELTA,TREE3,ROW,46,0.6363636363636364,0.3447894014879444,0.22827550689329468,0.7142857142857143,0.6747964337250053,0.6363636363636364,
2026,H4_H1_LIQ,LOGIT,ROW,79,0.6148732220160793,0.3869347244342856,0.28192215717773994,0.5918367346938775,0.7229385693671407,0.7348484848484849,
2026,H4_H1_LIQ,TREE2,ROW,79,0.6216759431045145,0.3318658513214371,0.23100077667212382,0.6938775510204082,0.6722531436817151,0.6363636363636364,
2026,H4_H1_LIQ,TREE3,ROW,79,0.6403061224489796,0.35099907728206114,0.2318684742496782,0.673469387755102,0.6806921253349826,0.6287878787878788,
2026,JOURNEY_NO_COUNT,LOGIT,ROW,28,0.4973716759431045,0.29962890634040173,0.25079121906277657,0.42857142857142855,0.605081426509998,0.6212121212121212,
2026,JOURNEY_NO_COUNT,TREE2,ROW,28,0.5392702535559679,0.30997099168420117,0.24613284848540784,0.9795918367346939,0.6564368171511029,0.6325757575757576,
2026,JOURNEY_NO_COUNT,TREE3,ROW,28,0.5592145949288807,0.31468666811372364,0.24614009564722727,0.9387755102040817,0.6578179756751185,0.6439393939393939,
2026,HTF_COMPACT,LOGIT,ROW,58,0.5276747062461348,0.3176931114247234,0.24893619616658536,0.5918367346938775,0.6784013605442177,0.6287878787878788,
2026,HTF_COMPACT,TREE2,ROW,58,0.49644403215831795,0.2694217031435231,0.26148781886536165,0.8979591836734694,0.6316944959802102,0.5265151515151515,
2026,HTF_COMPACT,TREE3,ROW,58,0.44658317872603587,0.25616220029505193,0.27788073178175965,0.7142857142857143,0.5993661100803958,0.4734848484848485,
2026,COMBINED_NO_COUNT,LOGIT,ROW,193,0.6337353123067409,0.3722594561662458,0.27433738850435524,0.5918367346938775,0.7054215625644198,0.6893939393939394,
2026,COMBINED_NO_COUNT,TREE2,ROW,193,0.6068336425479283,0.32084171014515495,0.23769002711110637,0.6326530612244898,0.6505205112347969,0.5833333333333334,
2026,COMBINED_NO_COUNT,TREE3,ROW,193,0.6035095856524428,0.32560212517351456,0.24987791797831096,0.6326530612244898,0.6625180375180376,0.5946969696969697,
